"","MarkerX","MarkerZ","SecondX","SecondZ","UserX","UserZ","ErrorX","ErrorY","ErrorMag","MarkerTime","TrialTime","Landmark","AngleError","Interface"
"147",0,-2.1,1.1,-1.4,1.3,-2.4,1.3,-0.3,1.33416640641263,3.52931,16.40708,"L",68.8387401831717,0
"148",-1.2,1.8,-0.1,2.1,-2.6,3.7,-1.4,1.9,2.36008474424119,2.41149999999999,13.90036,"L",47.8743617742506,0
"149",1.5,0,-0.5,-1.1,2.2,-2.3,0.7,-2.3,2.40416305603426,3.7457,16.6346,"L",52.7732827175513,0
"150",1.2,-1.8,-1.2,-1.6,3,-3.5,1.8,-1.7,2.47588368062799,5.41749999999999,14.4286,"L",19.5774482459663,0
"151",-1.2,1.8,1.6,0.5,1.6,7.2,2.8,5.4,6.08276253029822,6.8186,17.0297,"L",65.0952311919048,0
"152",0,2.1,-0.6,-0.8,0.1,0.9,0.1,-1.2,1.20415945787923,3.0581,10.6136,"L",10.6907658765204,0
"153",0,-2.1,-1.3,-1,0.3,-0.7,0.3,1.4,1.43178210632764,2.86770000000001,11.5788,"L",50.856013585429,0
"154",-1.2,-1.8,0.6,-1.8,-0.5,0,0.7,1.8,1.9313207915828,1.559,10.8924,"L",58.5704343851615,0
"155",1.5,0,-1.2,1.1,-0.5,1.9,-2,1.9,2.75862284482674,6.06950000000001,16.0584,"L",70.9804206563728,0
"156",-1.5,0,0.5,-1.1,0.7,-2.1,2.2,-2.1,3.04138126514911,8.96199999999999,15.1287,"L",130.120726216993,0
"157",-1.5,0,-1,-1,-0.4,0,1.1,0,1.1,1.57434,10.741002,"N",57.5288077091515,0
"158",1.2,1.8,-1.5,0,2.2,1.3,1,-0.5,1.1180339887499,3.19351,12.06017,"N",14.3310733502851,0
"159",0,-2.1,0.9,0.6,2.1,-1.2,2.1,0.9,2.28473193175917,3.58616,18.35283,"N",52.1250163489018,0
"160",1.2,-1.8,0,-2.2,2.3,-0.9,1.1,0.9,1.42126704035519,3.54929999999999,14.23819,"N",11.0409401803237,0
"161",-1.5,0,0.3,-1.5,0.2,0.9,1.7,0.9,1.92353840616713,2.11280000000001,17.2017,"N",47.808484877346,0
"162",1.2,1.8,1,-0.1,0.8,2.3,-0.4,0.5,0.640312423743285,1.9057,12.6502,"N",10.7726476482207,0
"163",-1.2,1.8,1.1,1.2,-2,1.5,-0.8,-0.3,0.854400374531753,2.82579999999999,11.7369,"N",9.09333383697549,0
"164",0,-2.1,1.3,-0.1,0.1,-2.2,0.1,-0.1,0.14142135623731,3.2671,15.1449,"N",3.27898625885434,0
"165",-1.5,0,1.3,1,-1.9,0.1,-0.4,0.1,0.412310562561766,3.7978,14.6868,"N",3.94518622903768,0
"166",-1.2,1.8,0.3,1.9,-2.4,1.3,-1.2,-0.5,1.3,2.30980000000002,11.1876,"N",8.7147328748611,0
"167",1.2,-1.8,-1.1,-0.2,1.7,-2.3,0.5,-0.5,0.707106781186547,2.80709999999999,13.7071,"N",2.04540848888705,0
"168",-1.2,-1.8,0.7,-1.9,-0.3,0.5,0.9,2.3,2.46981780704569,2.26729999999998,14.6811,"N",64.3673475477762,0
"169",-1.2,-1.8,0.5,-1.7,-1.4,-2.5,-0.2,-0.7,0.728010988928052,1.84496,7.14496,"L",19.4671935144877,0
"170",-1.5,0,1.2,-1.1,-2.2,0.6,-0.7,0.6,0.921954445729289,2.66976,9.49198,"L",4.39870535499552,0
"171",-1.2,-1.8,-0.4,0.6,-0.7,-3.2,0.5,-1.4,1.48660687473185,3.81185,9.91185,"L",13.9209603649207,0
"172",-1.2,1.8,0.1,2.1,-2.6,1.7,-1.4,-0.1,1.40356688476182,1.85411999999999,8.87633,"L",4.56764777043597,0
"173",-1.5,0,1.4,0.5,-1.9,-0.3,-0.4,-0.3,0.5,2.11052000000001,7.43274000000001,"L",3.84458782808435,0
"174",-1.2,-1.8,0.1,0.7,-2.2,-2.2,-1,-0.4,1.0770329614269,2.50109999999999,8.1455,"L",10.9436237185448,0
"175",0,2.1,-1.5,0.3,0.5,2.8,0.5,0.7,0.860232526704262,2.1203,8.3648,"L",1.1457628381748,0
"176",1.2,1.8,1.6,0.2,1.8,2.5,0.6,0.7,0.921954445729289,1.7646,8.36460000000001,"L",19.0059841960368,0
"177",0,2.1,-1.4,0,1.1,2.7,1.1,0.6,1.25299640861417,2.49090000000001,7.87970000000001,"L",9.10733431225439,0
"178",0,-2.1,-1.4,-0.3,0.4,-3.1,0.4,-1,1.0770329614269,2.1001,8.5557,"L",5.13975737899064,0
"179",1.2,-1.8,-0.6,0.7,1.7,-2.6,0.5,-0.8,0.94339811320566,1.77960000000002,7.36850000000001,"L",0.878558909833956,0
"180",0,-2.1,0.9,-1.3,-0.2,-2.8,-0.2,-0.7,0.728010988928051,1.95839999999998,8.25839999999999,"L",12.112622925985,0
"181",1.2,-1.8,-0.6,-1.8,1.4,-0.5,0.2,1.3,1.31529464379659,3.63107,10.39773,"N",33.0238675557967,0
"182",-1.2,1.8,-0.8,-0.3,-1.7,2.8,-0.5,1,1.11803398874989,4.96022,11.88244,"N",5.40490838946442,0
"183",-1.5,0,1.2,0.9,-2.4,-0.5,-0.9,-0.5,1.0295630140987,3.46185999999999,9.91741,"N",2.81555668421133,0
"184",0,-2.1,-1,-1.3,1,-2.5,1,-0.4,1.0770329614269,1.54819000000001,8.88152000000001,"N",7.69605172201655,0
"185",1.2,-1.8,0.6,0.6,1.7,-2,0.5,-0.2,0.53851648071345,2.6069,9.75135,"N",8.89585696966336,0
